Image Name	Altitude [km]	Roll Angle [º]	Corrected Roll [º]	Pitch Angle [º]	Corrected Pitch [º]	Latency [s]	Rate [Hz]
../testImages/750p0.png	750	-0.0436141	-0.0460966	1.91637	0.0120232	0.000314	3184.71
../testImages/750p5.png	750	-0.0228998	-0.0262038	5.9326	4.9822	0.00026	3846.15
../testImages/750p10.png	750	-0.00232824	-0.00644802	10.0081	9.99925	0.000429	2331
../testImages/750p15.png	750	-0.00344781	-0.00752319	14.1123	15.0248	0.000416	2403.85
../testImages/750p20.png	750	-0.012687	-0.016396	18.1872	19.9876	0.000376	2659.57
../testImages/750r0.png	750	-0.0436141	-0.0460966	1.91637	0.0120232	0.000485	2061.86
../testImages/750r5.png	750	-5.20299	-4.99862	1.99413	0.108499	0.000478	2092.05
../testImages/750r10.png	750	-10.3594	-9.94378	2.23386	0.405869	0.000486	2057.61
../testImages/750r15.png	750	-15.6372	-15.0008	2.62714	0.893503	0.000488	2049.18
../testImages/750r20.png	750	-20.8608	-20.0013	3.19338	1.59516	0.000486	2057.61
../testImages/725p0.png	725	-0.0019842	-0.00537359	1.91329	0.0108788	0.000488	2049.18
../testImages/725p5.png	725	-0.0270061	-0.0294786	5.91944	4.96748	0.000465	2150.54
../testImages/725p10.png	725	-0.0144676	-0.0173996	10.0035	9.99477	0.00023	4347.83
../testImages/725p15.png	725	-0.00490496	-0.00818732	14.1171	15.0322	0.000392	2551.02
../testImages/725p20.png	725	-0.0145688	-0.0174971	18.1806	19.9823	0.000397	2518.89
../testImages/725r0.png	725	-0.0019842	-0.00537359	1.91329	0.0108788	0.00049	2040.82
../testImages/725r5.png	725	-5.20815	-5.01873	2.00184	0.120708	0.000474	2109.7
../testImages/725r10.png	725	-10.2854	-9.90407	2.22536	0.397894	0.000413	2421.31
../testImages/725r15.png	725	-15.6428	-15.0547	2.61765	0.884156	0.000516	1937.98
../testImages/725r20.png	725	-20.7642	-19.9744	3.15102	1.54493	0.000497	2012.07
../testImages/700p0.png	700	0.00706437	0.00411471	1.91171	0.0116055	0.000498	2008.03
../testImages/700p5.png	700	-0.0153374	-0.0175337	5.91456	4.96298	0.000502	1992.03
../testImages/700p10.png	700	-0.0066545	-0.00914279	10.0056	9.99844	0.000427	2341.92
../testImages/700p15.png	700	-0.00872886	-0.0111474	14.111	15.0262	0.00039	2564.1
../testImages/700p20.png	700	-0.0255322	-0.0273856	18.1766	19.98	0.000439	2277.9
../testImages/700r0.png	700	0.00706437	0.00411471	1.91171	0.0116055	0.000242	4132.23
../testImages/700r5.png	700	-5.18989	-5.01627	1.99469	0.114496	0.000477	2096.44
../testImages/700r10.png	700	-10.291	-9.94054	2.21516	0.387801	0.000525	1904.76
../testImages/700r15.png	700	-15.55	-15.0136	2.61244	0.880126	0.000497	2012.07
../testImages/700r20.png	700	-20.709	-19.9866	3.14463	1.53926	0.000497	2012.07
../testImages/675p0.png	675	0.00403838	0.00195266	1.91246	0.0152032	0.000517	1934.24
../testImages/675p5.png	675	0.00772161	0.00552311	5.91095	4.96005	0.000463	2159.83
../testImages/675p10.png	675	-0.0243456	-0.0255622	10.0071	10.0014	0.000425	2352.94
../testImages/675p15.png	675	-0.0261115	-0.0272741	14.1061	15.0216	0.000413	2421.31
../testImages/675p20.png	675	-0.01613	-0.0175982	18.1747	19.9804	0.000176	5681.82
../testImages/675r0.png	675	0.00403838	0.00195266	1.91246	0.0152032	0.000502	1992.03
../testImages/675r5.png	675	-5.16723	-5.00943	2.00423	0.128958	0.000509	1964.64
../testImages/675r10.png	675	-10.4097	-10.0866	2.23197	0.411199	0.000283	3533.57
../testImages/675r15.png	675	-15.5304	-15.0428	2.58558	0.849274	0.00049	2040.82
../testImages/675r20.png	675	-20.6464	-19.9915	3.11811	1.50867	0.000521	1919.39
../testImages/650p0.png	650	0.00110153	-0.000140948	1.92072	0.0281262	0.000486	2057.61
../testImages/650p5.png	650	0.00468705	0.0033456	5.91259	4.9636	0.000462	2164.5
../testImages/650p10.png	650	-0.0110819	-0.0119881	10.0115	10.008	0.000445	2247.19
../testImages/650p15.png	650	-0.0131484	-0.0139974	14.1099	15.0278	0.000392	2551.02
../testImages/650p20.png	650	-0.0141494	-0.0149709	18.1768	19.9857	0.000201	4975.12
../testImages/650r0.png	650	0.00110153	-0.000140948	1.92072	0.0281262	0.000494	2024.29
../testImages/650r5.png	650	-5.13989	-4.9979	1.99605	0.121465	0.000487	2053.39
../testImages/650r10.png	650	-10.3694	-10.0791	2.21583	0.393767	0.000486	2057.61
../testImages/650r15.png	650	-15.4296	-14.9931	2.56879	0.830923	0.00054	1851.85
../testImages/650r20.png	650	-20.5757	-19.9879	3.06975	1.45107	0.000245	4081.63
../testImages/625p0.png	625	-0.0205308	-0.0204879	1.90649	0.0131695	0.00049	2040.82
../testImages/625p5.png	625	-0.0246038	-0.0244607	5.91347	4.96621	0.000477	2096.44
../testImages/625p10.png	625	-0.0126138	-0.0127656	10.0085	10.0054	0.000419	2386.63
../testImages/625p15.png	625	-0.0446227	-0.0439872	14.1133	15.0335	0.000246	4065.04
../testImages/625p20.png	625	-0.00617404	-0.00648424	18.1786	19.9905	0.000189	5291.01
../testImages/625r0.png	625	-0.0205308	-0.0204879	1.90649	0.0131695	0.000485	2061.86
../testImages/625r5.png	625	-5.09739	-4.97142	1.9991	0.127885	0.000479	2087.68
../testImages/625r10.png	625	-10.3232	-10.0654	2.1996	0.376225	0.000512	1953.12
../testImages/625r15.png	625	-15.3899	-15.0022	2.53898	0.796453	0.000492	2032.52
../testImages/625r20.png	625	-20.462	-19.9421	3.04595	1.42389	0.000493	2028.4
../testImages/600p0.png	600	-0.00340167	-0.0030403	1.90903	0.0189869	0.000492	2032.52
../testImages/600p5.png	600	-0.0145777	-0.0139751	5.89536	4.9454	0.000464	2155.17
../testImages/600p10.png	600	-0.0153579	-0.0147385	10.0161	10.0158	0.000421	2375.3
../testImages/600p15.png	600	-0.0177247	-0.0170542	14.1018	15.0209	0.000413	2421.31
../testImages/600p20.png	600	-0.00626119	-0.0058381	18.1718	19.9849	0.00024	4166.67
../testImages/600r0.png	600	-0.00340167	-0.0030403	1.90903	0.0189869	0.000518	1930.5
../testImages/600r5.png	600	-5.07684	-4.96615	1.9969	0.127811	0.000508	1968.5
../testImages/600r10.png	600	-10.2743	-10.0488	2.18442	0.360004	0.000491	2036.66
../testImages/600r15.png	600	-15.3123	-14.974	2.53436	0.793186	0.000514	1945.53
../testImages/600r20.png	600	-20.4946	-20.0384	3.0258	1.40124	0.000519	1926.78
../testImages/575p0.png	575	-0.0219076	-0.0204628	1.91837	0.033227	0.000495	2020.2
../testImages/575p5.png	575	-0.0125395	-0.0112686	5.89905	4.95148	0.000459	2178.65
../testImages/575p10.png	575	0.00130395	0.0023177	10.0212	10.0233	0.000227	4405.29
../testImages/575p15.png	575	-0.01695	-0.0155973	14.1095	15.0319	0.000384	2604.17
../testImages/575p20.png	575	-0.00971162	-0.0084933	18.1634	19.9772	0.00037	2702.7
../testImages/575r0.png	575	-0.0219076	-0.0204628	1.91837	0.033227	0.000527	1897.53
../testImages/575r5.png	575	-5.05487	-4.95936	2.00142	0.136052	0.00049	2040.82
../testImages/575r10.png	575	-10.228	-10.0346	2.17866	0.355444	0.000492	2032.52
../testImages/575r15.png	575	-15.3316	-15.0402	2.53602	0.797688	0.000524	1908.4
../testImages/575r20.png	575	-20.3972	-20.0075	2.98761	1.3563	0.000491	2036.66
../testImages/550p0.png	550	-0.00911763	-0.0071878	1.90672	0.0214918	0.000484	2066.12
../testImages/550p5.png	550	-0.00721461	-0.00531439	5.89999	4.95416	0.000455	2197.8
../testImages/550p10.png	550	-0.0259163	-0.0237251	10.0197	10.0225	0.000417	2398.08
../testImages/550p15.png	550	-0.00413465	-0.00228234	14.1061	15.0292	0.000386	2590.67
../testImages/550p20.png	550	-0.0111615	-0.00919985	18.1679	19.9854	0.00037	2702.7
../testImages/550r0.png	550	-0.00911763	-0.0071878	1.90672	0.0214918	0.000484	2066.12
../testImages/550r5.png	550	-5.05321	-4.97241	1.99017	0.124775	0.000482	2074.69
../testImages/550r10.png	550	-10.2014	-10.0393	2.17848	0.357805	0.000511	1956.95
../testImages/550r15.png	550	-15.2521	-15.0095	2.50199	0.758033	0.000526	1901.14
../testImages/550r20.png	550	-20.2954	-19.9716	2.9857	1.35623	0.00049	2040.82
../testImages/525p0.png	525	-0.00324429	-0.000665605	1.90319	0.0198059	0.000517	1934.24
../testImages/525p5.png	525	-0.00890988	-0.0062601	5.90636	4.96354	0.000457	2188.18
../testImages/525p10.png	525	-0.00195452	0.000607986	10.009	10.0105	0.000413	2421.31
../testImages/525p15.png	525	-0.0051763	-0.00257337	14.1073	15.0321	0.000416	2403.85
../testImages/525p20.png	525	-0.0329171	-0.0299661	18.1621	19.9809	0.000372	2688.17
../testImages/525r0.png	525	-0.00324429	-0.000665605	1.90319	0.0198059	0.000485	2061.86
../testImages/525r5.png	525	-4.96409	-4.8991	1.98803	0.124774	0.000483	2070.39
../testImages/525r10.png	525	-10.1263	-9.99604	2.17008	0.349983	0.000523	1912.05
../testImages/525r15.png	525	-15.1897	-14.9951	2.47322	0.724918	0.000491	2036.66
../testImages/525r20.png	525	-20.2747	-20.0151	2.93519	1.29609	0.000518	1930.5
../testImages/500p0.png	500	0.00531549	0.00855279	1.90612	0.0261068	0.000485	2061.86
../testImages/500p5.png	500	0.00754288	0.0107589	5.89286	4.94843	0.000453	2207.51
../testImages/500p10.png	500	-0.0120456	-0.00864273	10.0202	10.0253	0.000408	2450.98
../testImages/500p15.png	500	-0.0354205	-0.0317948	14.099	15.0235	0.000397	2518.89
../testImages/500p20.png	500	-0.0173612	-0.0139077	18.1669	19.9894	0.000202	4950.5
../testImages/500r0.png	500	0.00531549	0.00855279	1.90612	0.0261068	0.000517	1934.24
../testImages/500r5.png	500	-4.96982	-4.91919	1.98915	0.128801	0.000483	2070.39
../testImages/500r10.png	500	-10.1002	-10.0009	2.14628	0.323141	0.000487	2053.39
../testImages/500r15.png	500	-15.1817	-15.0341	2.45913	0.709969	0.000509	1964.64
../testImages/500r20.png	500	-20.1802	-19.9853	2.89667	1.2508	0.000495	2020.2
../testImages/475p0.png	475	-0.0173529	-0.0132016	1.90269	0.0245457	0.00051	1960.78
../testImages/475p5.png	475	-0.00605808	-0.00198056	5.89114	4.94784	0.000489	2044.99
../testImages/475p10.png	475	-0.019648	-0.0154818	10.0179	10.0237	0.000398	2512.56
../testImages/475p15.png	475	-0.0101312	-0.00602711	14.1022	15.0289	0.000384	2604.17
../testImages/475p20.png	475	-0.0012714	0.00277489	18.1633	19.9877	0.000201	4975.12
../testImages/475r0.png	475	-0.0173529	-0.0132016	1.90269	0.0245457	0.000554	1805.05
../testImages/475r5.png	475	-4.93392	-4.89796	1.99096	0.13369	0.000488	2049.18
../testImages/475r10.png	475	-9.99936	-9.93115	2.1189	0.291874	0.000518	1930.5
